run_id,model,regime,family_set,family,seed,n_family,n_normal,n_test,positive_rate,precision,recall,f1,roc_auc,accuracy,balanced_accuracy,macro_f1,notes
phase7-recovery-ceiling,decision_tree,target_frozen_test,native,scanning,42,10034,25000,35034,0.286407,0.980511,0.997807,0.989084,0.998673,0.993692,0.994924,0.992324,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,decision_tree,target_frozen_test,native,xss,42,10007,25000,35007,0.285857,0.98035,0.992106,0.986193,0.998288,0.992059,0.992073,0.99031,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,dummy,target_frozen_test,native,backdoor,42,9911,25000,34911,0.283893,0.283893,1.0,0.442238,0.5,0.283893,0.5,0.221119,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,dummy,target_frozen_test,native,ddos,42,9942,25000,34942,0.284529,0.284529,1.0,0.443009,0.5,0.284529,0.5,0.221504,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,dummy,target_frozen_test,native,dos,42,9893,25000,34893,0.283524,0.283524,1.0,0.44179,0.5,0.283524,0.5,0.220895,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,dummy,target_frozen_test,native,injection,42,10094,25000,35094,0.287628,0.287628,1.0,0.446756,0.5,0.287628,0.5,0.223378,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,dummy,target_frozen_test,native,mitm,42,518,25000,25518,0.020299,0.020299,1.0,0.039791,0.5,0.020299,0.5,0.019896,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,dummy,target_frozen_test,native,password,42,10159,25000,35159,0.288945,0.288945,1.0,0.448343,0.5,0.288945,0.5,0.224171,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,dummy,target_frozen_test,native,ransomware,42,9963,25000,34963,0.284958,0.284958,1.0,0.443529,0.5,0.284958,0.5,0.221765,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,dummy,target_frozen_test,native,scanning,42,10034,25000,35034,0.286407,0.286407,1.0,0.445283,0.5,0.286407,0.5,0.222641,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,dummy,target_frozen_test,native,xss,42,10007,25000,35007,0.285857,0.285857,1.0,0.444617,0.5,0.285857,0.5,0.222309,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,random_forest,target_frozen_test,native,backdoor,42,9911,25000,34911,0.283893,0.980602,0.999697,0.990057,0.999893,0.9943,0.995929,0.993031,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,random_forest,target_frozen_test,native,ddos,42,9942,25000,34942,0.284529,0.98048,0.990243,0.985338,0.999654,0.991615,0.991202,0.989733,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,random_forest,target_frozen_test,native,dos,42,9893,25000,34893,0.283524,0.980552,0.998888,0.989635,0.999791,0.994068,0.995524,0.99274,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
