run_id,model,regime,seed,accuracy,precision,recall,f1,roc_auc,notes,balanced_accuracy,macro_f1,n_test,positive_rate
phase7-recovery-f0.10,random_forest,target_frozen_test,42,0.993925,0.994172,0.997889,0.996027,0.998816,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 10.00% of the pool, n_ft=10552; d=22",0.989524,0.991565,105521,0.76308
phase7-recovery-f0.10,scratch_logreg,target_frozen_test,42,0.947138,0.991991,0.938302,0.9644,0.988395,"fit on UNSW train fold, warm-started gradient descent from the UNSW-fitted weights; scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 10.00% of the pool, n_ft=10552; d=22",0.956951,0.930892,105521,0.76308
phase7-recovery-f0.10,scratch_mlp,target_frozen_test,42,0.918812,0.967963,0.924194,0.945572,0.968893,"fit on UNSW train fold, head-only refit, both hidden layers frozen at their UNSW weights; scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 10.00% of the pool, n_ft=10552; d=22",0.912837,0.892931,105521,0.76308
phase7-recovery-f0.10,svm,target_frozen_test,42,0.945253,0.992151,0.935657,0.963076,0.98766,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 10.00% of the pool, n_ft=10552; d=22",0.955908,0.928621,105521,0.76308
phase7-recovery-f0.25,decision_tree,target_frozen_test,42,0.986818,0.995852,0.986836,0.991323,0.99688,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 25.00% of the pool, n_ft=26380; d=22",0.986798,0.981952,105521,0.76308
phase7-recovery-f0.25,dummy,target_frozen_test,42,0.76308,0.76308,1.0,0.865622,0.5,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 25.00% of the pool, n_ft=26380; d=22",0.5,0.432811,105521,0.76308
phase7-recovery-f0.25,random_forest,target_frozen_test,42,0.995394,0.996403,0.997566,0.996984,0.999323,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 25.00% of the pool, n_ft=26380; d=22",0.992983,0.993623,105521,0.76308
phase7-recovery-f0.25,scratch_logreg,target_frozen_test,42,0.946504,0.992204,0.937259,0.963949,0.988491,"fit on UNSW train fold, warm-started gradient descent from the UNSW-fitted weights; scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 25.00% of the pool, n_ft=26380; d=22",0.956769,0.930146,105521,0.76308
phase7-recovery-f0.25,scratch_mlp,target_frozen_test,42,0.916301,0.973163,0.915562,0.943485,0.976612,"fit on UNSW train fold, head-only refit, both hidden layers frozen at their UNSW weights; scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 25.00% of the pool, n_ft=26380; d=22",0.917121,0.891108,105521,0.76308
phase7-recovery-f0.25,svm,target_frozen_test,42,0.945423,0.992568,0.935483,0.96318,0.987954,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 25.00% of the pool, n_ft=26380; d=22",0.956461,0.928882,105521,0.76308
